component	lightcast	refined	occ_ttl
47-4021	10	0	Elevator and Escalator Installers and Repairers
47-4031	0	0	Fence Erectors
47-4041	0	0	Hazardous Materials Removal Workers
47-4051	0	0	Highway Maintenance Workers
47-4061	0	0	Rail-Track Laying and Maintenance Equipment Operators
47-4071	0	0	Septic Tank Servicers and Sewer Pipe Cleaners
47-5011	0	0	Derrick Operators, Oil and Gas
47-5012	0	0	Rotary Drill Operators, Oil and Gas
47-5013	0	0	Service Unit Operators, Oil and Gas
47-5022	0	0	Excavating and Loading Machine and Dragline Operators, Surface Mining
47-5041	10	0	Continuous Mining Machine Operators
47-5043	0	0	Roof Bolters, Mining
47-5044	0	0	Loading and Moving Machine Operators, Underground Mining
47-5051	0	0	Rock Splitters, Quarry
47-5071	0	0	Roustabouts, Oil and Gas
47-5081	0	0	Helpers--Extraction Workers
49-1011	0	0	First-Line Supervisors of Mechanics, Installers, and Repairers
49-2011	0	0	Computer, Automated Teller, and Office Machine Repairers
49-2021	0	0	Radio, Cellular, and Tower Equipment Installers and Repairers
49-2022	0	0	Telecommunications Equipment Installers and Repairers, Except Line Installers
49-2091	0	0	Avionics Technicians
49-2092	10	0	Electric Motor, Power Tool, and Related Repairers
49-2093	0	0	Electrical and Electronics Installers and Repairers, Transportation Equipment
49-2094	0	0	Electrical and Electronics Repairers, Commercial and Industrial Equipment
49-2095	20	0	Electrical and Electronics Repairers, Powerhouse, Substation, and Relay
49-2096	0	0	Electronic Equipment Installers and Repairers, Motor Vehicles
49-2097	0	0	Audiovisual Equipment Installers and Repairers
49-2098	0	0	Security and Fire Alarm Systems Installers
49-3011	0	0	Aircraft Mechanics and Service Technicians
49-3021	0	0	Automotive Body and Related Repairers
49-3022	0	0	Automotive Glass Installers and Repairers
49-3023	0	0	Automotive Service Technicians and Mechanics
49-3031	10	0	Bus and Truck Mechanics and Diesel Engine Specialists
49-3041	0	0	Farm Equipment Mechanics and Service Technicians
49-3042	0	0	Mobile Heavy Equipment Mechanics, Except Engines
49-3043	0	0	Rail Car Repairers
49-3051	0	0	Motorboat Mechanics and Service Technicians
49-3052	0	0	Motorcycle Mechanics
49-3053	0	0	Outdoor Power Equipment and Other Small Engine Mechanics
49-3091	0	0	Bicycle Repairers
49-3092	0	0	Recreational Vehicle Service Technicians
49-3093	0	0	Tire Repairers and Changers
49-9011	0	0	Mechanical Door Repairers
49-9012	0	0	Control and Valve Installers and Repairers, Except Mechanical Door
49-9021	0	0	Heating, Air Conditioning, and Refrigeration Mechanics and Installers
49-9031	0	0	Home Appliance Repairers
49-9041	0	0	Industrial Machinery Mechanics
49-9043	0	0	Maintenance Workers, Machinery
49-9044	0	0	Millwrights
49-9045	85	0	Refractory Materials Repairers, Except Brickmasons
49-9051	0	0	Electrical Power-Line Installers and Repairers
49-9052	0	0	Telecommunications Line Installers and Repairers
49-9061	95	0	Camera and Photographic Equipment Repairers
49-9062	25	0	Medical Equipment Repairers
49-9063	0	0	Musical Instrument Repairers and Tuners
49-9064	0	0	Watch and Clock Repairers
49-9071	0	0	Maintenance and Repair Workers, General
49-9081 | 49-9099	0	0	Installation, Maintenance, and Repair Workers, All Other; Wind Turbine Service Technicians
49-9091	0	0	Coin, Vending, and Amusement Machine Servicers and Repairers
49-9092	0	0	Commercial Divers
49-9094	10	0	Locksmiths and Safe Repairers
49-9095	10	0	Manufactured Building and Mobile Home Installers
49-9096	0	0	Riggers
49-9097	0	0	Signal and Track Switch Repairers
49-9098	0	0	Helpers--Installation, Maintenance, and Repair Workers
51-1011	0	0	First-Line Supervisors of Production and Operating Workers
51-2011	0	0	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers
51-2021	0	0	Coil Winders, Tapers, and Finishers
51-2022 | 51-2023	0	0	Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers
51-2031	0	0	Engine and Other Machine Assemblers
51-2041	0	0	Structural Metal Fabricators and Fitters
51-2051	0	0	Fiberglass Laminators and Fabricators
51-2061	10	0	Timing Device Assemblers and Adjusters
51-2092 | 51-2099	30	0	Miscellaneous Assemblers and Fabricators
51-3011	0	0	Bakers
51-3021	0	0	Butchers and Meat Cutters
51-3022	0	0	Meat, Poultry, and Fish Cutters and Trimmers
51-3023	30	0	Slaughterers and Meat Packers
51-3091	20	0	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders
51-3092	0	0	Food Batchmakers
51-3093	20	0	Food Cooking Machine Operators and Tenders
51-4021	0	0	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic
51-4022	10	0	Forging Machine Setters, Operators, and Tenders, Metal and Plastic
51-4023	0	0	Rolling Machine Setters, Operators, and Tenders, Metal and Plastic
51-4031	0	0	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic
51-4032	0	0	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic
51-4033	0	0	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic
51-4034	0	0	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic
51-4035	0	0	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic
51-4041	0	0	Machinists
51-4051	15	0	Metal-Refining Furnace Operators and Tenders
51-4052	0	0	Pourers and Casters, Metal
51-4061	0	0	Model Makers, Metal and Plastic
51-4062	0	0	Patternmakers, Metal and Plastic
51-4071	0	0	Foundry Mold and Coremakers
51-4072	0	0	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic
51-4081	0	0	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic
51-4111	0	0	Tool and Die Makers
51-4121	0	0	Welders, Cutters, Solderers, and Brazers
51-4122	0	0	Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders
51-4191	0	0	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic
51-4192	0	0	Layout Workers, Metal and Plastic
51-4193	0	0	Plating Machine Setters, Operators, and Tenders, Metal and Plastic
51-4194	0	0	Tool Grinders, Filers, and Sharpeners
51-5111	15	0	Prepress Technicians and Workers
51-5112	0	0	Printing Press Operators
51-5113	10	0	Print Binding and Finishing Workers
51-6011	0	0	Laundry and Dry-Cleaning Workers
51-6021	0	0	Pressers, Textile, Garment, and Related Materials
51-6031	0	0	Sewing Machine Operators
51-6041	0	0	Shoe and Leather Workers and Repairers
51-6042	0	0	Shoe Machine Operators and Tenders
51-6051	0	0	Sewers, Hand
51-6052	0	0	Tailors, Dressmakers, and Custom Sewers
51-6061	15	0	Textile Bleaching and Dyeing Machine Operators and Tenders
51-6062	15	0	Textile Cutting Machine Setters, Operators, and Tenders
51-6063	15	0	Textile Knitting and Weaving Machine Setters, Operators, and Tenders
51-6064	0	0	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders
51-6091	0	0	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers
51-6092	0	0	Fabric and Apparel Patternmakers
51-6093	0	0	Upholsterers
51-7011	0	0	Cabinetmakers and Bench Carpenters
51-7021	0	0	Furniture Finishers
