occ_code	sic	tot_emp	h_mean	occ_title	year
00-0000	071	5460	14.05	Industry Total	2001
11-0000	071	410	29.34	Management Occupations	2001
11-1011	071	50	31.95	Chief Executives	2001
11-1021	071	230	30.66	General and Operations Managers	2001
13-0000	071	30	22.24	Business and Financial Operations Occupations	2001
19-0000	071	60	18.77	Life, Physical, and Social Science Occupations	2001
37-0000	071	440	12.5	Building and Grounds Cleaning and Maintenance Occupations	2001
37-1012	071	30	16.82	First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers	2001
37-3011	071	190	11.56	Landscaping and Groundskeeping Workers	2001
37-3012	071	190	13.44	Pesticide Handlers, Sprayers, and Applicators, Vegetation	2001
41-0000	071	160	23.64	Sales and Related Occupations	2001
41-4012	071	110	26.04	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	2001
43-0000	071	610	11.3	Office and Administrative Support Occupations	2001
43-1011	071	40	15.54	First-Line Supervisors/Managers of Office and Administrative Support Workers	2001
43-3031	071	150	13.38	Bookkeeping, Accounting, and Auditing Clerks	2001
43-6011	071	60	14.62	Executive Secretaries and Administrative Assistants	2001
43-6014	071	140	9.3	Secretaries, Except Legal, Medical, and Executive	2001
43-9061	071	130	9.31	Office Clerks, General	2001
45-0000	071	2100	12.22	Farming, Fishing, and Forestry Occupations	2001
45-2091	071	1300	12.5	Agricultural Equipment Operators	2001
47-0000	071	160	13.98	Construction and Extraction Occupations	2001
47-2073	071	110	13.45	Operating Engineers and Other Construction Equipment Operators	2001
49-0000	071	220	14.38	Installation, Maintenance, and Repair Occupations	2001
49-3041	071	100	17.14	Farm Equipment Mechanics	2001
49-9042	071	40	11.7	Maintenance and Repair Workers, General	2001
51-0000	071	120	10.29	Production Occupations	2001
53-0000	071	1120	12.4	Transportation and Material Moving Occupations	2001
53-3032	071	630	13.17	Truck Drivers, Heavy and Tractor-Trailer	2001
53-3033	071	190	10.11	Truck Drivers, Light Or Delivery Services	2001
53-7051	071	60	13.28	Industrial Truck and Tractor Operators	2001
53-7062	071	170	9.39	Laborers and Freight, Stock, and Material Movers, Hand	2001
00-0000	072	128520	9.9	Industry Total	2001
11-0000	072	4980	28.31	Management Occupations	2001
11-1011	072	450	43.11	Chief Executives	2001
11-1021	072	1920	30.38	General and Operations Managers	2001
11-2011	072	40	31.34	Advertising and Promotions Managers	2001
11-2022	072	300	36.24	Sales Managers	2001
11-3031	072	230	31.67	Financial Managers	2001
11-3040	072	90	26.6	Human Resources Managers	2001
11-3051	072	350	24.63	Industrial Production Managers	2001
11-3071	072	180	24.84	Transportation, Storage, and Distribution Managers	2001
11-9011	072	950	22.31	Farm, Ranch, and Other Agricultural Managers	2001
13-0000	072	490	24.64	Business and Financial Operations Occupations	2001
13-1021	072	70	23.51	Purchasing Agents and Buyers, Farm Products	2001
13-2011	072	240	24.41	Accountants and Auditors	2001
15-0000	072	160	27.01	Computer and Mathematical Occupations	2001
15-1061	072	110	27.41	Database Administrators	2001
17-0000	072	180	20.64	Architecture and Engineering Occupations	2001
17-2021	072	50	34.42	Agricultural Engineers	2001
17-2141	072	30	28.45	Mechanical Engineers	2001
19-0000	072	670	17.42	Life, Physical, and Social Science Occupations	2001
19-1010	072	220	26.32	Agricultural and Food Scientists	2001
19-4011	072	240	14.66	Agricultural and Food Science Technicians	2001
19-4021	072	70	10.57	Biological Technicians	2001
25-0000	072	30	18.73	Education, Training, and Library Occupations	2001
25-9021	072	30	18.73	Farm and Home Management Advisors	2001
29-0000	072	30	19.26	Healthcare Practitioners and Technical Occupations	2001
29-9010	072	30	19.27	Occupational Health and Safety Specialists and Technicians	2001
33-0000	072	160	8.77	Protective Service Occupations	2001
33-9032	072	160	8.66	Security Guards	2001
37-0000	072	3080	9.99	Building and Grounds Cleaning and Maintenance Occupations	2001
37-1012	072	70	24.83	First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers	2001
37-2011	072	780	7.91	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	2001
37-3011	072	240	9.16	Landscaping and Groundskeeping Workers	2001
37-3012	072	1650	10.06	Pesticide Handlers, Sprayers, and Applicators, Vegetation	2001
37-3013	072	90	13.29	Tree Trimmers and Pruners	2001
41-0000	072	1110	21.32	Sales and Related Occupations	2001
41-1012	072	60	33.75	First-Line Supervisors/Managers of Non-Retail Sales Workers	2001
41-2011	072	30	8.01	Cashiers	2001
41-4012	072	780	23.76	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	2001
43-0000	072	9110	11.1	Office and Administrative Support Occupations	2001
43-1011	072	670	17.17	First-Line Supervisors/Managers of Office and Administrative Support Workers	2001
43-2011	072	50	10.78	Switchboard Operators, Including Answering Service	2001
43-3011	072	60	12.99	Bill and Account Collectors	2001
43-3031	072	1660	12.2	Bookkeeping, Accounting, and Auditing Clerks	2001
43-3051	072	350	12.92	Payroll and Timekeeping Clerks	2001
43-3061	072	50	13.07	Procurement Clerks	2001
43-4051	072	40	16.63	Customer Service Representatives	2001
43-4071	072	160	8.9	File Clerks	2001
43-4151	072	180	12.75	Order Clerks	2001
43-4161	072	80	13.3	Human Resources Assistants, Except Payroll and Timekeeping	2001
43-4171	072	300	9.72	Receptionists and Information Clerks	2001
43-5071	072	1290	9.87	Shipping, Receiving, and Traffic Clerks	2001
43-5081	072	70	9.32	Stock Clerks and Order Fillers	2001
43-5111	072	700	7.68	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	2001
43-6011	072	290	15.98	Executive Secretaries and Administrative Assistants	2001
43-6014	072	1220	9.87	Secretaries, Except Legal, Medical, and Executive	2001
43-9011	072	100	12.45	Computer Operators	2001
43-9021	072	150	9.37	Data Entry Keyers	2001
43-9061	072	1530	9.54	Office Clerks, General	2001
45-0000	072	64090	8.1	Farming, Fishing, and Forestry Occupations	2001
45-1011	072	3370	16.37	First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers	2001
45-1012	072	150	14.56	Farm Labor Contractors	2001
45-2011	072	280	11.49	Agricultural Inspectors	2001
45-2041	072	17590	7.09	Graders and Sorters, Agricultural Products	2001
45-2091	072	14820	7.9	Agricultural Equipment Operators	2001
45-2092	072	25710	7.62	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	2001
45-2093	072	320	7.56	Farmworkers, Farm and Ranch Animals	2001
49-0000	072	3870	12.15	Installation, Maintenance, and Repair Occupations	2001
49-1011	072	100	22.43	First-Line Supervisors/Managers of Mechanics, Installers, and Repairers	2001
49-3031	072	270	12.92	Bus and Truck Mechanics and Diesel Engine Specialists	2001
49-3041	072	680	12.04	Farm Equipment Mechanics	2001
49-3042	072	180	15.87	Mobile Heavy Equipment Mechanics, Except Engines	2001
49-9042	072	1580	12.47	Maintenance and Repair Workers, General	2001
49-9043	072	530	9.8	Maintenance Workers, Machinery	2001
51-0000	072	10970	8.96	Production Occupations	2001
51-1011	072	970	17.0	First-Line Supervisors/Managers of Production and Operating Workers	2001
51-3091	072	280	9.14	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	2001
51-9012	072	940	7.59	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	2001
51-9021	072	170	10.44	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	2001
51-9023	072	260	9.75	Mixing and Blending Machine Setters, Operators, and Tenders	2001
51-9041	072	50	9.13	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	2001
51-9061	072	790	8.16	Inspectors, Testers, Sorters, Samplers, and Weighers	2001
51-9111	072	3630	7.84	Packaging and Filling Machine Operators and Tenders	2001
51-9192	072	170	8.4	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	2001
51-9193	072	170	14.07	Cooling and Freezing Equipment Operators and Tenders	2001
51-9198	072	1390	8.03	Helpers--Production Workers	2001
53-0000	072	29260	9.41	Transportation and Material Moving Occupations	2001
53-1021	072	590	15.69	First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand	2001
53-1031	072	190	16.63	First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators	2001
53-2022	072	40	8.84	Airfield Operations Specialists	2001
53-3032	072	2920	10.79	Truck Drivers, Heavy and Tractor-Trailer	2001
53-3033	072	640	8.86	Truck Drivers, Light Or Delivery Services	2001
53-6031	072	30	7.41	Service Station Attendants	2001
53-7011	072	510	8.12	Conveyor Operators and Tenders	2001
53-7051	072	3970	9.62	Industrial Truck and Tractor Operators	2001
53-7061	072	120	8.31	Cleaners of Vehicles and Equipment	2001
53-7062	072	7610	7.84	Laborers and Freight, Stock, and Material Movers, Hand	2001
53-7063	072	1340	7.35	Machine Feeders and Offbearers	2001
53-7064	072	9240	7.39	Packers and Packagers, Hand	2001
53-7072	072	40	8.34	Pump Operators, Except Wellhead Pumpers	2001
00-0000	074	230680	13.92	Industry Total	2001
11-0000	074	3940	27.18	Management Occupations	2001
11-1011	074	770	43.92	Chief Executives	2001
11-1021	074	1910	24.88	General and Operations Managers	2001
11-3011	074	60	28.72	Administrative Services Managers	2001
11-3040	074	180	17.33	Human Resources Managers	2001
11-9111	074	630	23.99	Medical and Health Services Managers	2001
13-0000	074	420	19.47	Business and Financial Operations Occupations	2001
13-1071	074	40	16.68	Employment, Recruitment, and Placement Specialists	2001
13-2011	074	190	20.41	Accountants and Auditors	2001
15-0000	074	80	18.02	Computer and Mathematical Occupations	2001
15-1061	074	40	20.55	Database Administrators	2001
29-0000	074	87840	20.84	Healthcare Practitioners and Technical Occupations	2001
29-1131	074	38130	33.42	Veterinarians	2001
29-2012	074	1330	11.42	Medical and Clinical Laboratory Technicians	2001
29-2056	074	47460	11.11	Veterinary Technologists and Technicians	2001
31-0000	074	53090	8.56	Healthcare Support Occupations	2001
31-9096	074	52390	8.55	Veterinary Assistants and Laboratory Animal Caretakers	2001
37-0000	074	3200	8.14	Building and Grounds Cleaning and Maintenance Occupations	2001
37-1011	074	80	11.91	First-Line Supervisors/Managers of Housekeeping and Janitorial Workers	2001
37-2011	074	2220	7.85	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	2001
37-2012	074	240	7.62	Maids and Housekeeping Cleaners	2001
37-3011	074	510	8.43	Landscaping and Groundskeeping Workers	2001
39-0000	074	22100	7.9	Personal Care and Service Occupations	2001
39-1021	074	110	13.42	First-Line Supervisors/Managers of Personal Service Workers	2001
39-2021	074	21860	7.9	Nonfarm Animal Caretakers	2001
41-0000	074	330	9.2	Sales and Related Occupations	2001
41-2011	074	120	7.82	Cashiers	2001
41-2031	074	120	8.1	Retail Salespersons	2001
43-0000	074	58870	10.21	Office and Administrative Support Occupations	2001
43-1011	074	4790	14.37	First-Line Supervisors/Managers of Office and Administrative Support Workers	2001
43-3011	074	380	10.96	Bill and Account Collectors	2001
43-3021	074	70	13.88	Billing and Posting Clerks and Machine Operators	2001
43-3031	074	4100	11.71	Bookkeeping, Accounting, and Auditing Clerks	2001
43-3051	074	100	12.77	Payroll and Timekeeping Clerks	2001
43-3061	074	130	12.87	Procurement Clerks	2001
43-4051	074	300	9.65	Customer Service Representatives	2001
43-4171	074	32930	9.55	Receptionists and Information Clerks	2001
43-6011	074	1100	15.03	Executive Secretaries and Administrative Assistants	2001
43-6013	074	3670	10.05	Medical Secretaries	2001
43-6014	074	4320	9.31	Secretaries, Except Legal, Medical, and Executive	2001
43-9021	074	80	9.6	Data Entry Keyers	2001
43-9022	074	50	14.07	Word Processors and Typists	2001
43-9061	074	6590	9.26	Office Clerks, General	2001
45-0000	074	250	10.25	Farming, Fishing, and Forestry Occupations	2001
45-2093	074	220	10.14	Farmworkers, Farm and Ranch Animals	2001
49-0000	074	390	11.35	Installation, Maintenance, and Repair Occupations	2001
49-9042	074	360	11.04	Maintenance and Repair Workers, General	2001
53-0000	074	120	11.06	Transportation and Material Moving Occupations	2001
53-7062	074	50	8.76	Laborers and Freight, Stock, and Material Movers, Hand	2001
00-0000	075	61190	10.86	Industry Total	2001
11-0000	075	2480	23.31	Management Occupations	2001
11-1011	075	240	28.5	Chief Executives	2001
11-1021	075	1290	23.48	General and Operations Managers	2001
11-2011	075	80	21.04	Advertising and Promotions Managers	2001
11-2022	075	70	25.0	Sales Managers	2001
11-2031	075	60	20.23	Public Relations Managers	2001
11-3011	075	40	17.0	Administrative Services Managers	2001
11-3031	075	80	29.95	Financial Managers	2001
11-9011	075	430	20.11	Farm, Ranch, and Other Agricultural Managers	2001
13-0000	075	220	26.32	Business and Financial Operations Occupations	2001
15-0000	075	180	22.3	Computer and Mathematical Occupations	2001
15-1061	075	70	23.94	Database Administrators	2001
19-0000	075	1390	13.84	Life, Physical, and Social Science Occupations	2001
19-1010	075	150	19.78	Agricultural and Food Scientists	2001
19-4011	075	1140	12.99	Agricultural and Food Science Technicians	2001
25-0000	075	170	18.71	Education, Training, and Library Occupations	2001
27-0000	075	240	14.4	Arts, Design, Entertainment, Sports, and Media Occupations	2001
27-3031	075	80	18.01	Public Relations Specialists	2001
29-0000	075	820	19.92	Healthcare Practitioners and Technical Occupations	2001
29-1131	075	230	36.37	Veterinarians	2001
29-2056	075	410	11.48	Veterinary Technologists and Technicians	2001
31-0000	075	870	10.08	Healthcare Support Occupations	2001
31-9096	075	820	10.18	Veterinary Assistants and Laboratory Animal Caretakers	2001
33-0000	075	270	11.36	Protective Service Occupations	2001
33-9011	075	90	11.11	Animal Control Workers	2001
33-9032	075	150	9.6	Security Guards	2001
35-0000	075	50	10.62	Food Preparation and Serving Related Occupations	2001
37-0000	075	930	9.32	Building and Grounds Cleaning and Maintenance Occupations	2001
37-2011	075	350	8.09	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	2001
37-2012	075	50	9.69	Maids and Housekeeping Cleaners	2001
37-3011	075	330	9.78	Landscaping and Groundskeeping Workers	2001
39-0000	075	30780	9.74	Personal Care and Service Occupations	2001
39-1021	075	1220	14.11	First-Line Supervisors/Managers of Personal Service Workers	2001
39-2011	075	3660	14.6	Animal Trainers	2001
39-2021	075	25550	8.86	Nonfarm Animal Caretakers	2001
41-0000	075	1030	14.36	Sales and Related Occupations	2001
41-1011	075	60	11.62	First-Line Supervisors/Managers of Retail Sales Workers	2001
41-1012	075	50	20.93	First-Line Supervisors/Managers of Non-Retail Sales Workers	2001
41-2011	075	110	7.19	Cashiers	2001
41-2021	075	30	7.71	Counter and Rental Clerks	2001
41-2031	075	240	8.01	Retail Salespersons	2001
41-4011	075	100	23.55	Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	2001
41-4012	075	230	21.67	Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	2001
43-0000	075	5680	11.15	Office and Administrative Support Occupations	2001
43-1011	075	370	16.36	First-Line Supervisors/Managers of Office and Administrative Support Workers	2001
43-2011	075	50	10.49	Switchboard Operators, Including Answering Service	2001
43-3031	075	480	12.84	Bookkeeping, Accounting, and Auditing Clerks	2001
43-4051	075	260	12.1	Customer Service Representatives	2001
43-4071	075	70	10.25	File Clerks	2001
43-4151	075	40	11.59	Order Clerks	2001
43-4171	075	1150	9.07	Receptionists and Information Clerks	2001
43-5071	075	80	11.72	Shipping, Receiving, and Traffic Clerks	2001
43-5081	075	40	8.42	Stock Clerks and Order Fillers	2001
43-5111	075	430	9.98	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	2001
43-6011	075	380	15.07	Executive Secretaries and Administrative Assistants	2001
43-6014	075	670	10.82	Secretaries, Except Legal, Medical, and Executive	2001
43-9011	075	60	12.02	Computer Operators	2001
43-9021	075	150	11.69	Data Entry Keyers	2001
43-9061	075	1190	9.62	Office Clerks, General	2001
45-0000	075	11660	9.7	Farming, Fishing, and Forestry Occupations	2001
45-1011	075	780	15.19	First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers	2001
45-1012	075	60	8.6	Farm Labor Contractors	2001
45-2011	075	160	12.35	Agricultural Inspectors	2001
45-2021	075	1160	12.85	Animal Breeders	2001
45-2092	075	510	8.52	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	2001
45-2093	075	8280	8.76	Farmworkers, Farm and Ranch Animals	2001
49-0000	075	770	11.38	Installation, Maintenance, and Repair Occupations	2001
49-3031	075	30	15.61	Bus and Truck Mechanics and Diesel Engine Specialists	2001
49-9042	075	570	10.55	Maintenance and Repair Workers, General	2001
51-0000	075	2530	9.17	Production Occupations	2001
51-1011	075	90	15.98	First-Line Supervisors/Managers of Production and Operating Workers	2001
51-3021	075	730	9.58	Butchers and Meat Cutters	2001
51-3022	075	390	8.34	Meat, Poultry, and Fish Cutters and Trimmers	2001
51-3023	075	720	8.16	Slaughterers and Meat Packers	2001
51-9061	075	60	12.27	Inspectors, Testers, Sorters, Samplers, and Weighers	2001
51-9111	075	50	12.16	Packaging and Filling Machine Operators and Tenders	2001
51-9198	075	90	8.07	Helpers--Production Workers	2001
53-0000	075	1100	9.88	Transportation and Material Moving Occupations	2001
53-3033	075	150	11.47	Truck Drivers, Light Or Delivery Services	2001
53-7062	075	300	9.55	Laborers and Freight, Stock, and Material Movers, Hand	2001
53-7064	075	380	7.19	Packers and Packagers, Hand	2001
00-0000	076	160570	7.84	Industry Total	2001
11-0000	076	1510	30.64	Management Occupations	2001
11-1011	076	140	45.06	Chief Executives	2001
11-1021	076	550	36.44	General and Operations Managers	2001
11-3031	076	60	33.1	Financial Managers	2001
11-9011	076	600	22.69	Farm, Ranch, and Other Agricultural Managers	2001
13-0000	076	270	25.51	Business and Financial Operations Occupations	2001
13-1071	076	30	15.76	Employment, Recruitment, and Placement Specialists	2001
13-2011	076	110	22.49	Accountants and Auditors	2001
19-0000	076	60	21.19	Life, Physical, and Social Science Occupations	2001
19-1010	076	40	22.37	Agricultural and Food Scientists	2001
25-0000	076	40	16.86	Education, Training, and Library Occupations	2001
25-9021	076	40	16.58	Farm and Home Management Advisors	2001
37-0000	076	620	7.87	Building and Grounds Cleaning and Maintenance Occupations	2001
37-3011	076	200	8.0	Landscaping and Groundskeeping Workers	2001
37-3012	076	240	8.31	Pesticide Handlers, Sprayers, and Applicators, Vegetation	2001
41-0000	076	150	17.03	Sales and Related Occupations	2001
43-0000	076	2330	11.92	Office and Administrative Support Occupations	2001
43-1011	076	220	22.0	First-Line Supervisors/Managers of Office and Administrative Support Workers	2001
43-3031	076	480	12.26	Bookkeeping, Accounting, and Auditing Clerks	2001
43-3051	076	380	10.41	Payroll and Timekeeping Clerks	2001
43-4071	076	60	8.44	File Clerks	2001
43-4161	076	50	9.95	Human Resources Assistants, Except Payroll and Timekeeping	2001
43-5111	076	40	7.74	Weighers, Measurers, Checkers, and Samplers, Recordkeeping	2001
43-6011	076	140	16.74	Executive Secretaries and Administrative Assistants	2001
